Date,Prec,Inf_Coeff
3/1/19,0.16,0.25
3/2/19,0,0.25
3/3/19,1.23,0.25
3/4/19,0,0.25
3/5/19,0,0.25
3/6/19,0,0.25
3/7/19,0,0.25
3/8/19,0.35,-0.25
3/9/19,0.88,0.25
3/10/19,0.47,0.25
3/11/19,0.03,0.25
3/12/19,0.01,0.25
3/13/19,0,0.25
3/14/19,0.11,0.25
3/15/19,0.11,0.25
3/16/19,0,0.25
3/17/19,0,0.25
3/18/19,0,0.25
3/19/19,0,0.25
3/20/19,0,0.25
3/21/19,0.07,0.25
3/22/19,0,0.25
3/23/19,0,0.25
3/24/19,0,0.25
3/25/19,0.23,0.25
3/26/19,0,0.25
3/27/19,0,0.25
3/28/19,0,0.25
3/29/19,0,0.25
3/30/19,0.32,0.25
3/31/19,0.46,0.25